x,y,z
0.15312,0.12595,1.2161
0.15208,0.1249,1.2213
0.15417,0.12804,1.2192
0.15626,0.12595,1.2182
0.14894,0.12595,1.2161
0.15312,0.1249,1.2203
0.1479,0.1249,1.2161
0.15521,0.12281,1.2192
0.14894,0.12072,1.2171
0.15103,0.12804,1.2224
0.15835,0.13117,1.2224
0.15626,0.12595,1.2255
0.15521,0.1249,1.2224
0.14999,0.12908,1.2245
0.14581,0.13117,1.2203
0.15521,0.13013,1.2213
0.15521,0.12908,1.2171
0.14685,0.13013,1.2255
0.15521,0.1249,1.2203
0.14999,0.12595,1.2213
0.15417,0.12177,1.2182
0.15208,0.12072,1.2171
0.15208,0.12699,1.2171
0.14267,0.12908,1.2203
0.15417,0.12281,1.2109
0.15312,0.12595,1.214
0.1573,0.12281,1.2161
0.14581,0.12699,1.2161
0.15626,0.12386,1.2161
0.15208,0.12595,1.2192
0.15208,0.1249,1.2161
0.15103,0.12281,1.2161
0.15417,0.12595,1.213
0.15103,0.12804,1.2151
0.15103,0.12386,1.2213
0.16985,0.12386,1.2203
0.15835,0.12595,1.2171
0.15521,0.12595,1.2203
0.15521,0.12386,1.2171
0.15417,0.12699,1.2192
0.14894,0.12386,1.2203
0.14999,0.12281,1.2224
0.15312,0.13117,1.2224
0.15417,0.12386,1.2192
0.15835,0.12386,1.2245
0.1573,0.12177,1.2151
0.15521,0.12699,1.2171
0.15208,0.12177,1.2245
0.15312,0.12804,1.2182
0.15208,0.12804,1.2224
0.14581,0.12804,1.2182
0.15521,0.12699,1.2161
0.15103,0.12804,1.2182
0.15521,0.12699,1.213
0.14685,0.12908,1.214
0.15417,0.1249,1.2213
0.15626,0.12908,1.2151
0.15939,0.12699,1.2182
0.15521,0.12804,1.214
0.14999,0.12908,1.2161
0.15939,0.12699,1.2109
0.15626,0.1249,1.214
0.14894,0.13222,1.213
0.15521,0.12699,1.2161
0.15208,0.12595,1.2182
0.15312,0.1364,1.2171
0.15939,0.12804,1.2192
0.15312,0.13744,1.2161
0.15521,0.13117,1.2171
0.16044,0.12386,1.213
0.15312,0.12699,1.2161
0.14999,0.12595,1.2182
0.15417,0.12595,1.2203
0.15312,0.12595,1.2255
0.15521,0.12595,1.2203
0.15103,0.12281,1.2224
0.1479,0.1249,1.2182
0.15939,0.12699,1.2161
0.15103,0.12908,1.2224
0.14999,0.13013,1.2224
0.15103,0.12699,1.2234
0.14685,0.1249,1.2192
0.14999,0.12595,1.2182
0.1573,0.12595,1.2171
0.15208,0.12177,1.2151
0.15312,0.12072,1.2182
0.15417,0.1249,1.2182
0.15208,0.12386,1.2182
0.15417,0.12281,1.2171
0.15521,0.12804,1.214
0.15417,0.13013,1.2245
0.15835,0.12595,1.2192
0.14685,0.12804,1.2161
0.1573,0.12699,1.2192
0.15103,0.12595,1.2161
0.14999,0.12177,1.214
0.15103,0.12072,1.2192
0.15103,0.12908,1.2192
0.15208,0.12804,1.2203
0.14581,0.12386,1.2161
0.14894,0.12386,1.2171
0.15939,0.12386,1.2276
0.15208,0.12699,1.2161
0.15312,0.12804,1.2276
0.1479,0.12804,1.2234
0.14894,0.1249,1.2192
0.14894,0.12699,1.2224
0.15417,0.12908,1.2213
0.15417,0.1249,1.2213
0.14999,0.12595,1.2203
0.15417,0.12804,1.2119
0.15103,0.12386,1.2234
0.15417,0.12804,1.2203
0.15208,0.12699,1.2192
0.15626,0.12699,1.2234
0.15103,0.12177,1.2224
0.15312,0.12804,1.2213
0.15417,0.12281,1.214
0.15626,0.12699,1.2265
0.1573,0.12386,1.2151
0.15626,0.12595,1.2203
0.14999,0.12699,1.213
0.14999,0.12804,1.214
0.15626,0.13117,1.2161
0.1479,0.12804,1.2192
0.14999,0.12804,1.214
0.15103,0.12699,1.2077
0.15521,0.13013,1.213
0.1573,0.12595,1.2203
0.15208,0.12699,1.2151
0.15312,0.12804,1.2192
0.15835,0.12595,1.2182
0.14894,0.12281,1.2182
0.15835,0.12804,1.2213
0.16148,0.13117,1.2213
0.14999,0.1249,1.2265
0.15103,0.12804,1.2203
0.15208,0.12804,1.2213
0.15208,0.12595,1.2161
0.15521,0.12699,1.2192
0.1479,0.12908,1.2224
0.15417,0.12595,1.2276
0.15312,0.12908,1.2151
0.15208,0.12908,1.2234
0.14894,0.13013,1.2213
0.15835,0.12699,1.2245
0.15521,0.12804,1.2182
0.15521,0.12804,1.2171
0.15312,0.12699,1.2171
0.15103,0.13953,1.2161
0.15521,0.12804,1.2182
0.15208,0.12908,1.2203
0.14999,0.12804,1.214
0.15521,0.12804,1.2161
0.15312,0.12177,1.214
0.14894,0.13013,1.2213
0.14999,0.12699,1.213
0.15417,0.12699,1.2119
0.14894,0.12699,1.213
0.15103,0.12386,1.2171
0.15521,0.12281,1.2203
0.15626,0.1249,1.2151
0.15208,0.12908,1.214
0.15208,0.12699,1.2119
0.15312,0.1249,1.2161
0.14894,0.12699,1.213
0.15521,0.1249,1.2203
0.1573,0.12386,1.213
0.14999,0.12595,1.2192
0.15417,0.12908,1.2265
0.1573,0.12595,1.2213
0.1479,0.12281,1.2297
0.15626,0.12177,1.2203
0.15208,0.13326,1.2276
0.15208,0.13117,1.2234
0.15417,0.12386,1.2171
0.15626,0.12908,1.2234
0.15312,0.13117,1.2182
0.15312,0.12804,1.2265
0.15312,0.12595,1.2192
0.15521,0.12908,1.2161
0.15521,0.13117,1.2203
0.15626,0.12804,1.2182
0.15208,0.1249,1.2203
0.14372,0.1249,1.2171
0.15521,0.13013,1.2192
0.15208,0.1249,1.213
0.15626,0.12386,1.2161
0.15208,0.13326,1.2203
0.14894,0.12595,1.2171
0.15417,0.1249,1.2171
0.14999,0.12281,1.2151
0.15417,0.12595,1.2203
0.1573,0.12699,1.2151
0.15626,0.12699,1.2171
0.16253,0.12072,1.2161
0.15103,0.11863,1.2109
0.15521,0.12699,1.2213
0.15626,0.12908,1.2203
0.15312,0.12804,1.2182
0.15626,0.12386,1.2255
0.14999,0.12595,1.2276
0.14894,0.12595,1.2224
0.15626,0.12908,1.2213
0.15417,0.12386,1.2224
0.15626,0.12908,1.2151
0.15208,0.13013,1.2224
0.15939,0.12908,1.2192
0.14999,0.12177,1.2203
0.1573,0.13013,1.2245
0.15417,0.12804,1.2224
0.14999,0.12804,1.2161
0.15417,0.12595,1.2182
0.15417,0.12908,1.2182
0.14999,0.12386,1.2119
0.15312,0.1249,1.2171
0.15312,0.12281,1.2161
0.15521,0.12177,1.2171
0.15103,0.13222,1.2119
0.1573,0.12595,1.214
0.14999,0.12908,1.213
0.15417,0.12177,1.2067
0.15103,0.1249,1.2171
0.15835,0.12386,1.2203
0.15521,0.12699,1.2192
0.15521,0.12386,1.2171
0.15312,0.1249,1.2151
0.15312,0.1249,1.2161
0.15312,0.12595,1.2161
0.15626,0.12699,1.2234
0.15521,0.12595,1.2192
0.15417,0.13013,1.2255
0.14894,0.12386,1.2213
0.15312,0.1249,1.2192
0.14999,0.13117,1.2203
0.15835,0.12699,1.2192
0.14999,0.12281,1.2234
0.15312,0.12699,1.2203
0.15417,0.12804,1.2224
0.15626,0.12595,1.2203
0.14894,0.12699,1.2234
0.15417,0.12595,1.2203
0.15521,0.1249,1.2234
0.15103,0.12699,1.2161
0.15208,0.12804,1.2213
0.15103,0.1249,1.2182
0.1573,0.12281,1.2192
0.15417,0.1249,1.2192
0.14999,0.12804,1.2192
0.15835,0.12177,1.2213
0.15312,0.1249,1.214
0.14999,0.12595,1.2171
0.15521,0.13013,1.2151
0.14894,0.12699,1.2161
0.15208,0.12908,1.2161
0.14581,0.12595,1.2161
0.15312,0.13117,1.214
0.14894,0.12386,1.2161
0.15521,0.12177,1.2119
0.1479,0.12072,1.2171
0.15208,0.12595,1.2203
0.15208,0.12804,1.2203
0.1573,0.1249,1.2192
0.15626,0.13013,1.2224
0.1573,0.12699,1.2171
0.15312,0.13326,1.2255
0.15417,0.12804,1.2182
0.15312,0.12595,1.2203
0.15312,0.12595,1.2234
0.14581,0.12908,1.2203
0.15521,0.13013,1.2245
0.14999,0.12595,1.2192
0.1573,0.12804,1.2276
0.15312,0.1249,1.2192
0.15521,0.12595,1.2182
0.15312,0.12386,1.2171
0.15312,0.1249,1.2203
0.15521,0.12386,1.2171
0.1573,0.12804,1.2265
0.15939,0.12699,1.2151
0.15208,0.12595,1.214
0.1573,0.12386,1.214
0.14999,0.12595,1.2192
0.14685,0.12699,1.2098
0.15521,0.12595,1.2161
0.15417,0.13013,1.2161
0.1573,0.12908,1.2203
0.1479,0.12699,1.213
0.14999,0.12804,1.213
0.15312,0.13222,1.2119
0.14894,0.12595,1.2151
0.14267,0.12804,1.2161
0.15835,0.12386,1.2182
0.15521,0.12177,1.2224
0.15626,0.12908,1.2098
0.1573,0.1249,1.2213
0.14894,0.12386,1.2224
0.15626,0.12595,1.2234
0.1573,0.13013,1.2192
0.15521,0.12177,1.2203
0.15312,0.12908,1.2255
0.15208,0.12595,1.2224
0.15312,0.12804,1.2234
0.15312,0.12908,1.2255
0.16044,0.12804,1.2213
0.15417,0.12908,1.2171
0.14999,0.12699,1.2151
0.15521,0.12386,1.2192
0.14999,0.13013,1.2213
0.15208,0.12699,1.2151
0.15312,0.13117,1.2182
0.14581,0.1249,1.2234
0.15103,0.12595,1.2171
0.16044,0.12386,1.2224
0.14894,0.12699,1.2171
0.15208,0.12804,1.2119
0.15312,0.12804,1.213
0.15103,0.12595,1.2119
0.1573,0.1249,1.2224
0.15208,0.12281,1.2151
0.15417,0.12908,1.2161
0.15417,0.12281,1.2119
0.15417,0.12072,1.2203
0.15626,0.1249,1.2224
0.15208,0.1249,1.2161
0.15521,0.1249,1.2224
0.15521,0.12908,1.2224
0.15312,0.12908,1.2182
0.15208,0.12908,1.2182
0.15208,0.12595,1.2234
0.14581,0.12699,1.2203
0.14894,0.12804,1.2234
0.15626,0.12281,1.2265
0.15103,0.12072,1.2224
0.15417,0.12699,1.2203
0.15521,0.12281,1.2234
0.15312,0.12699,1.2182
0.15626,0.12804,1.2161
0.15417,0.12908,1.2182
0.15208,0.12908,1.2119
0.14999,0.12595,1.2171
0.15312,0.12699,1.2182
0.15626,0.12804,1.2192
0.15208,0.1249,1.214
0.1479,0.13013,1.2203
0.14999,0.12595,1.2109
0.15521,0.13117,1.2213
0.15312,0.12908,1.2119
0.14999,0.13013,1.2119
0.15103,0.13013,1.214
0.14476,0.12595,1.2192
0.15312,0.1249,1.2161
0.15312,0.12595,1.2077
0.1573,0.10713,1.2151
0.16044,0.13117,1.2109
0.15312,0.1249,1.2192
0.15208,0.12699,1.2213
0.14999,0.12908,1.2119
0.15626,0.1249,1.2171
0.15312,0.12595,1.2224
0.15521,0.12177,1.2224
0.15312,0.12699,1.2224
0.14999,0.12804,1.2234
0.15521,0.12386,1.2234
0.15312,0.13013,1.2224
0.15417,0.12804,1.2203
0.15626,0.12699,1.2203
0.15417,0.12908,1.2151
0.15417,0.1249,1.214
0.15312,0.13117,1.2171
0.15417,0.12595,1.2182
0.15103,0.12908,1.2151
0.14685,0.12699,1.2098
0.15208,0.12386,1.2025
0.14999,0.12386,1.2036
0.15521,0.12281,1.1983
0.15312,0.12595,1.2036
0.15103,0.12595,1.1994
0.15417,0.13013,1.2015
0.15939,0.12804,1.1941
0.15417,0.12699,1.2004
0.1573,0.12699,1.1983
0.1573,0.1249,1.2056
0.1573,0.12804,1.2025
0.1479,0.13117,1.213
0.14999,0.12804,1.2036
0.14894,0.1249,1.2088
0.15103,0.13117,1.2161
0.15312,0.12595,1.213
0.16357,0.12908,1.2171
0.15835,0.1249,1.2224
0.15521,0.12281,1.2224
0.16044,0.12908,1.2286
0.15312,0.12386,1.2307
0.15208,0.12908,1.2349
0.15521,0.12386,1.2307
0.15208,0.12595,1.2422
0.14267,0.12595,1.2307
0.15103,0.13013,1.2286
0.15103,0.12804,1.2245
0.15417,0.12699,1.2234
0.15521,0.13326,1.2265
0.15417,0.12699,1.2192
0.14894,0.13013,1.2192
0.16044,0.12177,1.2119
0.15521,0.12177,1.2276
0.15835,0.12804,1.2297
0.1479,0.12699,1.2255
0.15626,0.12281,1.2245
0.15626,0.1249,1.2307
0.14894,0.12386,1.2234
